College,Status,Team,Experience,LastName,FirstName,Number,PlayerId,Position
Illinois,Retired, ,8 Seasons,"Knop, Oscar", ,oscarknop/2518653,
Tulsa,Retired, ,1 Season,"Reynolds, Homer", ,homerreynolds/2524004,
Army,Retired, ,5 Seasons,"Cagle, Chris", ,chriscagle/2510895,
Nebraska,Retired, ,0 Season,"Erickson, Mike", ,mikeerickson/2513681,
Virginia Tech,Retired, ,4 Seasons,"Carmichael, Roc", ,roccarmichael/2495133,
Indiana,Retired, ,2 Seasons,"Anderson, Cliff", ,cliffanderson/2508473,
Stanford,Unsigned free agent,San Francisco 49ers,8th season,"Dray, Jim",49,jimdray/497226,TE
USC,Active,Baltimore Ravens,3rd season,"Allen, Javorius",37,javoriusallen/2552631,RB
Illinois,Active,Houston Texans,6th season,"Allen, Jeff",79,jeffallen/2532787,OG
Kansas State,Retired, ,5 Seasons,"Figurs, Yamon", ,yamonfigurs/2495602,
USC,Retired, ,9 Seasons,"Pinckert, Ernie", ,erniepinckert/2523251,
Wake Forest,Retired, ,9 Seasons,"Barnes, Billy", ,billybarnes/2509009,
Cincinnati,Retired, ,1 Season,"Lathan, Greg", ,greglathan/2519132,
Eastern Michigan,Retired, ,3 Seasons,"Fernandes, Ron", ,ronfernandes/2513963,
Georgia,Retired, ,18 Seasons,"Tarkenton, Fran", ,frantarkenton/2527019,
Florida A&M,Retired, ,1 Season,"Mays, Frances", ,francesmays/2550304,
Manhattan,Retired, ,1 Season,"Seick, Red", ,redseick/2525292,
Notre Dame,Retired, ,5 Seasons,"Mays, Corey", ,coreymays/2506770,
Rutgers,Retired, ,2 Seasons,"Catanho, Alcides", ,alcidescatanho/2500032,
Northern Arizona,Retired, ,8 Seasons,"Tillman, Rusty", ,rustytillman/2527432,
Alabama,Active,Washington Redskins,Rookie,"Allen, Jonathan", ,jonathanallen/2557844,DE
Notre Dame,Retired, ,5 Seasons,"Earl, Glenn", ,glennearl/2506058,
Florida Atlantic,Retired, ,1 Season,"Carter, Duron", ,duroncarter/2552616,
LSU,Retired, ,1 Season,"Leisk, Rube", ,rubeleisk/2519330,
